Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,ML_Selected,Significant,Validated
ZNF592,0.7119452870370343,0.03226237916666667,7.0980377124989,1.4343987841202327e-11,1.8010311133413643e-7,15.7882846460249,TRUE,TRUE,TRUE
TMEM107,-1.2835363872053809,-0.03955103333333334,-6.873016770497655,5.429218798175437e-11,3.4084635614945394e-7,14.5338718018119,TRUE,TRUE,TRUE
ADAMTS2,0.9773170016834971,0.015409241666666669,6.575252574907936,3.0281857280770963e-10,9.725002977688676e-7,12.915568864961442,TRUE,TRUE,TRUE
FURIN,1.9276423484848386,0.08866170833333334,6.559015273654169,3.3223818518736557e-10,9.725002977688676e-7,12.828338958243195,TRUE,TRUE,TRUE
LRRC4B,7.453743114478087,0.5705520833333334,6.532001068484624,3.8726517114083617e-10,9.725002977688676e-7,12.68414486125357,TRUE,TRUE,TRUE
CMTM4,2.4368723484848407,0.10813704166666666,6.480619566354072,5.17734475887739e-10,1.0834456798744085e-6,12.411010951604196,TRUE,TRUE,TRUE
DAB2IP,2.101451525252517,0.04402954999999997,6.4009714590655244,8.096120662877296e-10,1.1975301272333903e-6,11.990560240106271,TRUE,TRUE,TRUE
CIC,3.5725927853535233,0.051795162500000005,6.390215813188434,8.597568042293385e-10,1.1975301272333903e-6,11.934059118496487,TRUE,TRUE,TRUE
SETD1A,0.5385388106060579,0.03607140416666667,6.367239453778591,9.769543551270542e-10,1.1975301272333903e-6,11.813906083528027,TRUE,TRUE,TRUE
NRIP2,1.6195186287878713,0.1305548375,6.363436687611022,9.982251868882018e-10,1.1975301272333903e-6,11.793671641153407,TRUE,TRUE,TRUE
SLC6A9,1.9470568257575671,-0.040882920833333336,6.354501215295296,1.0491264255787904e-9,1.1975301272333903e-6,11.746919648453867,TRUE,TRUE,TRUE
TMCC2,6.48842343939391,0.296276525,6.308456556848316,1.3545902388811055e-9,1.4173529199492632e-6,11.506735035244363,TRUE,TRUE,TRUE
NIT1,-1.9423960067339978,-0.0754884,-6.275863739532411,1.6219540537251415e-9,1.5665580845056058e-6,11.337461698317641,TRUE,TRUE,TRUE
BCL2L1,3.6673926456228823,0.15713597083333336,6.220846919706254,2.19519575886147e-9,1.9159140492232535e-6,11.053132900388027,TRUE,TRUE,TRUE
GIT1,9.53096040067336,0.6194084,6.213226844645839,2.288842843130679e-9,1.9159140492232535e-6,11.013891971651416,TRUE,TRUE,TRUE
PFKP,23.69082284511777,0.35516125000000004,6.165999384400384,2.962950374353327e-9,2.325175306273773e-6,10.771449387393625,TRUE,TRUE,TRUE
KIF1A,18.331347024410718,-0.2649925208333333,6.1071718738831375,4.079014620961081e-9,3.0127122106345492e-6,10.471308190573252,TRUE,TRUE,TRUE
HMGN2,-17.18086777609419,-1.093900075,-5.9764688970512125,8.2364866632442e-9,5.745407030205231e-6,9.811893528552554,TRUE,TRUE,TRUE
TMEM184B,5.107657863636341,0.08614417500000002,5.965828877444125,8.717376194693643e-9,5.760809236872284e-6,9.758669500570145,TRUE,TRUE,TRUE
ITPK1,8.747256967171683,0.22902311250000001,5.922617765663746,1.0968727699802171e-8,6.886167249935802e-6,9.54322960049377,TRUE,TRUE,TRUE
IP6K2,3.615731755892243,0.35541385833333333,5.892710887031827,1.2850309772234618e-8,7.683261404770374e-6,9.394794064710993,TRUE,TRUE,TRUE
ZNF334,-0.5822156877104354,-0.02884269583333333,-5.839535134513363,1.700016616215827e-8,9.702458469639057e-6,9.132471217538853,TRUE,TRUE,TRUE
S100A4,4.276071368686853,0.06930152499999997,5.830851877906176,1.7797547372702437e-8,9.715913252680513e-6,9.089530284045692,TRUE,TRUE,TRUE
TMEM14B,-3.5066994023568845,0.097663125,-5.776463849568368,2.365156941043709e-8,1.1214899696739411e-5,8.823107468336106,TRUE,TRUE,TRUE
ISYNA1,9.375089241582447,0.40947378749999996,5.774293319266226,2.3920583210067178e-8,1.1214899696739411e-5,8.812513538940513,TRUE,TRUE,TRUE
MEPCE,1.991891462962956,0.11335299166666667,5.772800878863636,2.410728645177893e-8,1.1214899696739411e-5,8.805230953307625,TRUE,TRUE,TRUE
DDOST,-2.0827769149831576,0.021268895833333346,-5.772730363266949,2.4116143024208676e-8,1.1214899696739411e-5,8.804886896634311,TRUE,TRUE,TRUE
HSD11B2,1.261421542929288,0.03015009583333335,5.756370362415962,2.6258409091993294e-8,1.1775020877109566e-5,8.72517395662473,TRUE,TRUE,TRUE
PNPLA6,3.373722764309754,0.20618160000000002,5.7353615679657395,2.9285432564409094e-8,1.2679582457886916e-5,8.623000043366016,TRUE,TRUE,TRUE
SLC6A12,6.274165505892229,0.13865971250000003,5.723930599434315,3.1072411229386684e-8,1.2965414078307492e-5,8.567537971558673,TRUE,TRUE,TRUE
HSPA2,10.755849304713758,-0.008133608333333332,5.718182296567769,3.201081844755752e-8,1.2965414078307492e-5,8.53967901558376,TRUE,TRUE,TRUE
CSRP1,79.36180838383805,0.27505841666666647,5.702066055458684,3.479174108809478e-8,1.3651409409441189e-5,8.4616841129898,TRUE,TRUE,TRUE
RERE,2.120984060606051,0.06494143333333334,5.685387201344349,3.791774555976032e-8,1.442712767419244e-5,8.381140486743528,TRUE,TRUE,TRUE
GAREM2,3.9799032777777605,0.156351725,5.657120106970741,4.385239928150075e-8,1.575547681146496e-5,8.24504173499508,TRUE,TRUE,TRUE
