Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,ML_Selected,Significant,Validated
CIC,3.570773107167009,0.2984983224637681,6.715453607881309,1.0731603289811487e-10,1.3474601090687304e-6,13.81456724660712,TRUE,TRUE,TRUE
TMEM107,-1.1241792721433401,-0.17837162681159421,-6.540443544467887,2.980901908067099e-10,1.8714102178845246e-6,12.860962577813266,TRUE,TRUE,TRUE
KIF1A,18.222448799526727,2.0764493514492752,6.2110807710580245,1.9383027926138895e-9,6.398777692519258e-6,11.1154250407947,TRUE,TRUE,TRUE
SLC6A9,1.931578204192025,0.21154020289855072,6.202046355608816,2.0384764869446505e-9,6.398777692519258e-6,11.068483930715106,TRUE,TRUE,TRUE
TMCC2,6.185998478363761,0.7483570471014492,5.969898714714331,7.308410820309366e-9,1.835288125196088e-5,9.879873203516334,TRUE,TRUE,TRUE
SETD1A,0.5036723877620018,0.061159641304347825,5.849362986512216,1.3983861370184136e-8,2.9263560560672e-5,9.276480973374614,TRUE,TRUE,TRUE
DDOST,-1.959927695740364,-0.2667008260869565,-5.798884184990159,1.8303267851748804e-8,3.045759248068919e-5,9.02633261597947,TRUE,TRUE,TRUE
HMGN2,-16.125730139621375,-1.7144963514492755,-5.787862916722927,1.9405920663070526e-8,3.045759248068919e-5,8.971979041477045,TRUE,TRUE,TRUE
PPDPF,-24.491984176808682,-1.9237834456521739,-5.75045474319897,2.3653848360507197e-8,3.147217882861174e-5,8.78808949298494,TRUE,TRUE,TRUE
LRRC4B,6.754481646382693,0.5049737173913044,5.739466830509204,2.5065449847572273e-8,3.147217882861174e-5,8.734251047986524,TRUE,TRUE,TRUE
ADAMTS2,0.883363285665991,0.10389093115942029,5.702659569294159,3.041697123853621e-8,3.471959007918733e-5,8.55454435019877,TRUE,TRUE,TRUE
ZNF592,0.5669502129817451,0.07530903623188405,5.65281632564635,3.94706427173245e-8,4.129944916322719e-5,8.312652144452805,TRUE,TRUE,TRUE
CMTM4,1.9697680875591637,0.3106122572463768,5.5513956436743035,6.674858884837577e-8,6.446886781386201e-5,7.825222368252575,TRUE,TRUE,TRUE
ITPK1,7.731155229546997,1.0164572644927536,5.5172422160419785,7.953547204854745e-8,7.133195621725441e-5,7.66269952905537,TRUE,TRUE,TRUE
TMEM184B,4.398993474306964,0.5462496123188406,5.482812952891049,9.482883094703007e-8,7.679736395316524e-5,7.499667669484621,TRUE,TRUE,TRUE
ADORA1,2.901240859364432,0.2020644347826087,5.476631907854969,9.786220318976138e-8,7.679736395316524e-5,7.470484441024084,TRUE,TRUE,TRUE
CXXC1,3.52491461697093,0.4217141920289855,5.4148306708742,1.3387718735971162e-7,9.1601742690235435e-05,7.1801359519105095,TRUE,TRUE,TRUE
